Type,215023_s_at,215029_at,214976_at,214967_at,214970_s_at,215001_s_at,214982_at,215108_x_at,215107_s_at,215136_s_at,215135_at,215124_at,215071_s_at,215069_at,215067_x_at,215075_s_at,215084_s_at,215078_at,214831_at,214840_at,214822_at,214843_s_at,214845_s_at,214815_at
1.0,0.68629169322286,0.2541665390488609,0.0,0.0,0.0,0.6167515337714187,0.0014442329153808236,0.0076284616206821546,0.9248734123504285,0.7238445227754635,0.1842915811088288,0.010319917440659316,0.6709746022657554,0.0587123258074971,0.035077242487833234,0.7371383008822245,0.3148523327150816,0.0,0.3853821290793448,0.45026244766984713,0.0,0.5599277614689463,0.9556602896034235,0.0
2.0,0.5102241342681116,0.1400893470489659,0.514550549687431,0.2026506128459444,0.46304781134322165,0.8083805080647459,0.2880807019847261,0.030599820616132534,0.3483946705892337,0.36316654280669,0.9235112936344974,0.41424148606811123,0.8817379657273732,0.19830038529401164,0.25287984997990803,0.4897502507780549,0.7030674846625777,0.36862361781416053,0.40110520279428613,0.23958603395881578,0.33457281983178294,0.4526636159557933,0.09685901212365486,0.5941946499715423
3.0,0.5562858508604215,0.1514305591410081,0.7155636990730749,0.5855169128156251,0.7933007170407186,0.7996946680700556,0.5506466224643864,0.05388022176679175,0.4733444598455488,0.7208923372718538,0.9627310061601663,1.0,0.5965195697517478,0.3679197724244714,0.2405400276822786,0.18747910182875058,0.367827079469254,0.8217362086871517,0.4707746846001457,0.060790105616592545,0.83444001770695,0.6202728371611124,0.07334346221822573,0.4418990703851268
1.0,0.8876141916294888,0.2210311227012387,0.4314507436947615,0.23673610810342458,0.3288291786389169,0.6972709773466466,0.22079257751810796,0.028378434898992076,0.5078243896919464,0.5629197319170118,0.4776180698151966,0.4770897832817326,0.9314087358390245,0.05246480141154433,0.2087612180202703,0.4334782273206617,0.3283635326009418,0.4658195369295606,0.45344593890105317,0.050627961833521,0.4073483842408147,0.4981364761411385,0.6492263805773463,0.18931417188389357
1.0,0.7410107287019343,0.5340170730746847,0.27096356973485575,0.06531248646541538,0.06129792135849371,0.751382053689111,0.05339285323530048,0.0,0.6069050380470141,0.8342548970144062,0.345379876796716,0.32425180598554915,0.8812625250501002,0.6689172158006554,0.426485690047774,0.2092131999279816,0.24588386360393807,0.16390738591239448,0.3998123240538001,0.05455086384597401,0.1275785745905255,0.6193086974040181,0.5623887631391277,0.32287516600265637
2.0,0.5436318249415774,0.12431578624965549,0.6002910109937486,0.32149508423924816,0.5417410887629099,0.18532320617491202,0.3769010262806623,0.038751097912919835,0.4361234477101072,0.6783685936551881,0.5500000000000016,0.6281733746130015,0.7051654329066297,0.43667854956609425,0.1624213064249674,0.4363846806759436,0.5966043658153808,0.5809151444804213,0.4362840162652484,0.05395584078883062,0.5892872952633922,1.0,0.7061486465535954,0.3076740656421939
1.0,0.34821807945613015,0.47087907520116207,0.498491054106487,0.1383342717311277,0.2243017265926332,0.07279606292492796,0.12265038622289308,0.021379675714863332,0.6098130180192923,0.39368382297795773,0.39969199178644926,0.06336429308565324,0.8965686474990796,0.001422347052680578,0.3613765236415591,0.6675840427994546,0.7537879868740198,0.20563259820392313,0.3932645188197271,0.6044244214463309,0.20823373173970833,0.9312654694065503,0.37748286874825615,0.29576930373743193
3.0,0.3094858721053752,0.4226920502128665,0.33072860530286746,0.2385984668023728,0.5123864254096452,0.8150892764012554,0.23249961705945452,0.026166343682760114,0.21932618596362194,0.651505750966449,0.40123203285421205,0.3643962848297201,0.9290826551061301,0.19579777465701662,0.2519031566727685,0.37751999794233393,0.3121843344271657,0.29238194147473834,0.4035658429777919,0.05574516012495472,0.36564851704293755,0.5681013641858056,0.03511829090570847,0.26569910832859106
2.0,0.3680688336520084,0.13342988531899339,0.6853308902780766,0.3531551821213562,0.5723123916025985,0.41407087114423624,0.4061576839755792,0.042252801130211355,0.44246838844728575,0.47422462518152836,0.6124229979466121,0.6733746130030925,0.3676587869616785,0.22719743617442628,0.022223958565879217,0.5956377478844621,0.34529890141246994,0.6129879650558977,0.451339797727036,0.05626793038230222,0.6683488269145645,0.8233537673401253,0.9176459644662184,0.339404287611459
2.0,0.7001673040152975,0.20405430830419996,0.7227311920672561,0.47204296418207764,0.7298542621210938,0.44335239287305955,0.5923105538414405,0.06157606851906072,0.33949251789199747,0.8895146279769014,0.9824435318275189,0.8046439628482964,0.5729469142366366,0.40526088365561175,0.20982162789659306,0.6195375395457701,0.36548723070338146,0.8640112407599724,0.4845584402043585,0.06302144208088062,0.8923417441345749,0.5516750129511312,0.6065114260022944,0.4671551887687343
3.0,0.9539250053112387,0.5042463913330737,0.4028885535675785,0.22101433583091473,0.39204266003986465,0.14319308925743682,0.23987395785465765,0.021052044557837407,0.6383496930779892,0.6837275262321796,0.5190965092402462,0.48617131062951374,0.8478283096805854,0.042292319325915956,0.5034323793365182,0.10902543789706537,0.3233271508061072,0.371311625633821,0.41382546137003423,0.058903032492509076,0.4210712704736606,0.5700080584815519,0.5991194071501658,0.48534433693796225
2.0,0.4997477161674109,0.13471627280165566,0.4463246389308031,0.14755944389102957,0.32942455540886784,0.1959387060374177,0.2147968226875861,0.02628484856934392,0.3508670193205285,0.9258953712731219,0.0,0.502579979360166,0.3783383092716043,0.1978862842533582,0.0,0.6255819336917101,0.5336709944357262,0.2856619219255899,1.0,0.05433835561127985,0.4367419212040728,0.7019225234559376,0.6035781836222134,0.23335230506545296
