Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,1001,481,200,10,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,1001,481,200,10,0.7222222222222222,0.621653038319705,0.7222222222222222,0.6669389978213507
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,1001,481,200,10,0.7222222222222222,0.7178571428571429,0.7222222222222222,0.6971807241415084
Hybrid approach,Ridge_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,1001,481,200,10,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,101,45,200,10,0.7222222222222222,0.638755980861244,0.7222222222222222,0.6772486772486772
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,101,45,200,10,0.6944444444444444,0.5952380952380953,0.6944444444444444,0.6381381381381382
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,kNN,101,45,200,10,0.75,0.7731481481481483,0.75,0.7183678894205211
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Artificial_Bee_Colony,Random_Forest,101,45,200,10,0.75,0.648989898989899,0.75,0.6944444444444444
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,501,126,200,10,0.8055555555555556,0.8322723028605381,0.8055555555555556,0.7777176527176528
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,501,126,200,10,0.7222222222222222,0.6177248677248677,0.7222222222222222,0.6615497076023392
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,126,200,10,0.75,0.7242063492063493,0.75,0.727805010893246
Hybrid approach,chi2_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,501,126,200,10,0.7222222222222222,0.625,0.7222222222222222,0.6612862862862863
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,1001,467,200,10,0.75,0.6463443963443963,0.75,0.6930827886710238
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,1001,467,200,10,0.75,0.6445279866332498,0.75,0.691137566137566
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,1001,467,200,10,0.75,0.7458112874779541,0.75,0.7363834422657951
Hybrid approach,Ridge_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,1001,467,200,10,0.7777777777777778,0.6686381357433989,0.7777777777777778,0.718855218855219
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Naive_Bayes,101,54,200,10,0.7222222222222222,0.6234567901234568,0.7222222222222222,0.6690433749257279
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,SVM,101,54,200,10,0.75,0.648989898989899,0.75,0.6944444444444444
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,101,54,200,10,0.7222222222222222,0.627104377104377,0.7222222222222222,0.665204678362573
Hybrid approach,SVM_RFE_GLA_BRA_180_df,Particle_Swarm_Optimization,Random_Forest,101,54,200,10,0.75,0.648989898989899,0.75,0.6944444444444444
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,Naive_Bayes,501,9,50,50,0.7222222222222222,0.6695767195767197,0.7222222222222222,0.6905207993917671
Hybrid approach,chi2_GLA_BRA_180_df,Artificial_Bee_Colony,SVM,501,9,50,50,0.75,0.6872957516339869,0.75,0.700514763014763
