Method,Dataset,Feature Selection method,Classification method,No. genes,No. selected genes,Iterations,Initialized particles,Accuracy,Precision,Sensitivity,F-measure
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,261.0,500,50,0.8125,0.814732143,0.8125,0.809294872
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,254.0,50,1000,0.8125,0.854166667,0.8125,0.784090909
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,245.0,50,100,0.75,0.757589286,0.75,0.741477273
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,350.0,50,10,0.5625,0.526041667,0.5625,0.541035354
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,241.0,50,200,0.625,0.610416667,0.625,0.613636364
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,489.0,50,20,0.6875,0.7875,0.6875,0.635416667
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,454.0,50,500,0.6875,0.666666667,0.6875,0.672979798
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,506.0,50,50,0.625,0.604166667,0.625,0.604910714
Hybrid approach,MI_barretNP_df_1000,Particle_Swarm_Optimization,kNN,1001,,0,0,,,,0.69
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,181.0,1000,1000,0.805555556,0.800005187,0.805555556,0.793903952
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,187.0,1000,100,0.75,0.773913952,0.75,0.741358025
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,254.0,1000,10,0.805555556,0.849206349,0.805555556,0.79423436
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,169.0,1000,200,0.75,0.72786132,0.75,0.721560847
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,201.0,1000,20,0.777777778,0.755070547,0.777777778,0.752258506
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,202.0,1000,500,0.805555556,0.812441643,0.805555556,0.801487093
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,188.0,1000,50,0.777777778,0.792107584,0.777777778,0.772240378
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,193.0,100,1000,0.75,0.751009468,0.75,0.732032628
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,194.0,100,100,0.805555556,0.826330532,0.805555556,0.804936621
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,187.0,100,10,0.75,0.793650794,0.75,0.718475829
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,167.0,100,200,0.777777778,0.773589065,0.777777778,0.771036387
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,216.0,100,20,0.805555556,0.814484127,0.805555556,0.804012346
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,184.0,100,500,0.805555556,0.820453913,0.805555556,0.794895736
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,256.0,100,50,0.75,0.734475077,0.75,0.727493775
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,216.0,200,1000,0.777777778,0.780771373,0.777777778,0.762215998
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,169.0,200,100,0.777777778,0.762583542,0.777777778,0.752425044
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,140.0,200,10,0.833333333,0.851521164,0.833333333,0.828113653
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,170.0,200,200,0.805555556,0.832027987,0.805555556,0.797619048
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,193.0,200,20,0.805555556,0.805224868,0.805555556,0.793391431
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,200.0,200,500,0.777777778,0.773589065,0.777777778,0.771036387
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,225.0,200,50,0.805555556,0.832027987,0.805555556,0.792107584
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,170.0,500,1000,0.777777778,0.80952381,0.777777778,0.761554622
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,234.0,500,100,0.75,0.793650794,0.75,0.718475829
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,244.0,500,10,0.805555556,0.832027987,0.805555556,0.797619048
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,112.0,500,200,0.805555556,0.849206349,0.805555556,0.798611111
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,240.0,500,20,0.805555556,0.814484127,0.805555556,0.804012346
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,166.0,500,500,0.833333333,0.838585434,0.833333333,0.82842312
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,212.0,500,50,0.861111111,0.886243386,0.861111111,0.860112564
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,171.0,50,1000,0.777777778,0.784391534,0.777777778,0.764842048
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,225.0,50,100,0.833333333,0.85410831,0.833333333,0.832714399
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,177.0,50,10,0.777777778,0.786647993,0.777777778,0.772256883
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,209.0,50,200,0.805555556,0.832027987,0.805555556,0.792107584
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,246.0,50,20,0.805555556,0.820453913,0.805555556,0.794895736
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,173.0,50,500,0.861111111,0.870039683,0.861111111,0.859567901
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,139.0,50,50,0.777777778,0.780771373,0.777777778,0.762215998
Hybrid approach,ANOVA_GLA_BRA_180_df,Particle_Swarm_Optimization,kNN,501,,0,0,,,,0.86
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,251.0,1000,1000,0.95,0.955,0.95,0.949603175
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,265.0,1000,100,0.925,0.931724138,0.925,0.91871345
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,258.0,1000,10,0.95,0.955,0.95,0.949603175
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,249.0,1000,200,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,262.0,1000,20,0.95,0.955,0.95,0.949603175
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,121.0,1000,500,0.95,0.95,0.95,0.95
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,255.0,1000,50,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,270.0,100,1000,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,244.0,100,100,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,263.0,100,10,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,248.0,100,200,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,239.0,100,20,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,250.0,100,500,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,266.0,100,50,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,116.0,200,1000,0.95,0.96,0.95,0.951851852
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,257.0,200,100,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,228.0,200,10,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,243.0,200,200,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,248.0,200,20,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,252.0,200,500,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,243.0,200,50,0.95,0.955,0.95,0.949603175
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,124.0,500,1000,0.95,0.95,0.95,0.95
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,242.0,500,100,0.95,0.955,0.95,0.949603175
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,256.0,500,10,0.95,0.955,0.95,0.949603175
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,117.0,500,200,0.925,0.929074074,0.925,0.925707071
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,261.0,500,20,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,265.0,500,500,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,246.0,500,50,0.975,0.98,0.975,0.976161616
Hybrid approach,ANOVA_lung_cancer_df,Particle_Swarm_Optimization,kNN,501,238.0,50,1000,0.975,0.98,0.975,0.976161616
